epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1310.11,0.65753,0.45898,0.99305,0.84975,0.76757,0.7973,0.59453,0.8801,0.6257,1.01725,0.000874842,0.000874842,0.000874842
98,1323.53,0.62769,0.5653,0.95682,0.83792,0.77394,0.79488,0.59504,0.8816,0.62859,1.01885,0.00086659,0.00086659,0.00086659
99,1336.97,0.6442,0.44896,0.98176,0.86697,0.77313,0.80558,0.60009,0.86667,0.5762,1.00068,0.000858338,0.000858338,0.000858338
100,1350.53,0.637,0.44655,0.97862,0.83737,0.76736,0.78948,0.5844,0.88741,0.62404,1.02069,0.000850087,0.000850087,0.000850087
101,1363.93,0.65878,0.45467,0.99428,0.83541,0.7566,0.78876,0.5897,0.885,0.61927,1.02967,0.000841835,0.000841835,0.000841835
102,1377.34,0.67106,0.45115,1.00161,0.80849,0.80916,0.8019,0.5877,0.89436,0.60785,1.031,0.000833583,0.000833583,0.000833583
103,1390.72,0.65759,0.45877,0.98745,0.81902,0.76936,0.7891,0.58381,0.92445,0.63063,1.05736,0.000825332,0.000825332,0.000825332
104,1404.19,0.64102,0.44453,0.98052,0.84208,0.77082,0.79756,0.6015,0.87741,0.63617,1.02325,0.00081708,0.00081708,0.00081708
105,1418.03,0.63469,0.44948,0.97827,0.84563,0.77458,0.8087,0.60463,0.87272,0.60038,1.02154,0.000808828,0.000808828,0.000808828
106,1431.58,0.63715,0.44188,0.97542,0.82833,0.76567,0.78398,0.58991,0.87831,0.61943,1.01466,0.000800577,0.000800577,0.000800577
107,1444.92,0.63761,0.43999,0.97803,0.86917,0.77463,0.80484,0.60483,0.88676,0.60277,1.01789,0.000792325,0.000792325,0.000792325
108,1458.3,0.69676,0.44642,1.04543,0.83429,0.74925,0.77687,0.58744,0.90672,0.6197,1.02895,0.000784073,0.000784073,0.000784073
109,1471.56,0.64887,0.45368,0.99338,0.88281,0.74478,0.78398,0.59434,0.87274,0.6106,1.01858,0.000775822,0.000775822,0.000775822
110,1484.75,0.68344,0.49267,1.01008,0.86337,0.75487,0.78084,0.58296,0.89448,0.62242,1.04404,0.00076757,0.00076757,0.00076757
111,1498.05,0.64426,0.46129,0.98888,0.8472,0.7597,0.79473,0.60095,0.88707,0.63069,1.02248,0.000759318,0.000759318,0.000759318
112,1511.31,0.61712,0.43412,0.98233,0.85357,0.77816,0.80473,0.59981,0.88106,0.61906,1.02994,0.000751067,0.000751067,0.000751067
113,1524.64,0.62125,0.4261,0.9754,0.8803,0.7578,0.79993,0.59577,0.89437,0.60884,1.0278,0.000742815,0.000742815,0.000742815
114,1538.07,0.7174,0.56216,1.06386,0.85668,0.74868,0.79147,0.5836,0.91397,0.62933,1.05506,0.000734564,0.000734564,0.000734564
