epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,1619.96,0.63844,0.44603,0.98887,0.86674,0.74518,0.78574,0.5867,0.87533,0.59382,1.03366,0.00604,0.00604,0.00604
82,1639.85,0.63569,0.43634,0.98304,0.86024,0.78975,0.81792,0.59723,0.85811,0.55618,1.01886,0.0059905,0.0059905,0.0059905
83,1659.73,0.62463,0.43687,0.98607,0.88845,0.76381,0.81208,0.60649,0.85013,0.56722,1.02337,0.005941,0.005941,0.005941
84,1679.61,0.63414,0.44245,0.98882,0.886,0.76269,0.80958,0.60345,0.86364,0.55991,1.02942,0.0058915,0.0058915,0.0058915
85,1699.48,0.62782,0.43821,0.98421,0.86215,0.76119,0.79508,0.59936,0.87014,0.58195,1.02311,0.005842,0.005842,0.005842
86,1719.47,0.61863,0.4347,0.9776,0.88926,0.7566,0.80591,0.59629,0.86525,0.5663,1.03318,0.0057925,0.0057925,0.0057925
87,1739.61,0.62343,0.42759,0.98708,0.85277,0.76926,0.79109,0.59208,0.85444,0.59481,1.01384,0.005743,0.005743,0.005743
88,1759.8,0.61973,0.42931,0.98031,0.90758,0.75603,0.8076,0.60683,0.84123,0.55244,1.01078,0.0056935,0.0056935,0.0056935
89,1779.75,0.62277,0.42108,0.97661,0.86623,0.75901,0.80689,0.59714,0.86279,0.57941,1.01517,0.005644,0.005644,0.005644
90,1799.82,0.62119,0.43294,0.9777,0.88131,0.7618,0.80816,0.60408,0.84246,0.57039,1.00752,0.0055945,0.0055945,0.0055945
91,1819.76,0.61278,0.42344,0.97863,0.87419,0.75921,0.8031,0.60255,0.82834,0.56106,1.01289,0.005545,0.005545,0.005545
92,1839.65,0.62225,0.42633,0.98229,0.89419,0.75377,0.80337,0.60172,0.83439,0.56236,1.01671,0.0054955,0.0054955,0.0054955
93,1859.52,0.61089,0.41818,0.97643,0.89289,0.73215,0.79729,0.60244,0.85039,0.58266,1.02282,0.005446,0.005446,0.005446
94,1879.4,0.60408,0.4157,0.97717,0.85991,0.77712,0.80931,0.59829,0.84244,0.5841,1.01604,0.0053965,0.0053965,0.0053965
95,1899.31,0.60179,0.41419,0.97283,0.84389,0.74896,0.79365,0.5966,0.83414,0.6167,1.00614,0.005347,0.005347,0.005347
96,1919.15,0.61199,0.41811,0.97282,0.88205,0.77224,0.81168,0.60692,0.83609,0.59327,1.01619,0.0052975,0.0052975,0.0052975
97,1938.99,0.60585,0.41252,0.97473,0.86384,0.77244,0.80702,0.60341,0.84637,0.58454,1.02156,0.005248,0.005248,0.005248
98,1958.84,0.59715,0.41104,0.97511,0.87988,0.76627,0.80703,0.60155,0.85282,0.5945,1.01026,0.0051985,0.0051985,0.0051985
99,1979.14,0.60764,0.41084,0.97605,0.88748,0.75841,0.80521,0.60437,0.83712,0.56399,1.00872,0.005149,0.005149,0.005149
100,1999.41,0.60546,0.41528,0.97527,0.90613,0.76458,0.81605,0.61069,0.84902,0.56906,1.01527,0.0050995,0.0050995,0.0050995
101,2019.38,0.60196,0.41952,0.97585,0.87491,0.76262,0.81103,0.60743,0.85147,0.573,1.01528,0.00505,0.00505,0.00505
102,2039.29,0.60408,0.4085,0.97011,0.88414,0.76269,0.81149,0.6021,0.85366,0.56462,1.01613,0.0050005,0.0050005,0.0050005
103,2059.3,0.59137,0.40539,0.96552,0.86794,0.76329,0.81322,0.60836,0.84798,0.55938,1.01804,0.004951,0.004951,0.004951
104,2079.27,0.58879,0.40455,0.97591,0.90099,0.76866,0.82065,0.61124,0.81699,0.5509,0.99941,0.0049015,0.0049015,0.0049015
105,2099.16,0.5907,0.40388,0.96698,0.93158,0.7599,0.81482,0.61685,0.82565,0.5349,0.99829,0.004852,0.004852,0.004852
106,2119.08,0.5835,0.40178,0.9629,0.89151,0.76458,0.81536,0.61695,0.83906,0.57596,1.0174,0.0048025,0.0048025,0.0048025
107,2139.03,0.59184,0.40088,0.96388,0.87137,0.7618,0.80478,0.61166,0.82694,0.58033,0.99959,0.004753,0.004753,0.004753
108,2158.98,0.58541,0.3974,0.96131,0.90218,0.75804,0.82049,0.61636,0.82275,0.56971,0.99323,0.0047035,0.0047035,0.0047035
109,2178.89,0.58412,0.39925,0.97139,0.8656,0.78022,0.82187,0.61189,0.81799,0.57043,0.99761,0.004654,0.004654,0.004654
110,2198.79,0.591,0.39952,0.96675,0.89886,0.75304,0.79951,0.60615,0.83594,0.57801,1.0133,0.0046045,0.0046045,0.0046045
111,2219.16,0.58241,0.39274,0.96372,0.89164,0.76478,0.8099,0.61519,0.82417,0.53916,1.00536,0.004555,0.004555,0.004555
112,2239.43,0.57889,0.38764,0.96171,0.87406,0.75841,0.8069,0.61139,0.81491,0.57288,1.00536,0.0045055,0.0045055,0.0045055
113,2259.59,0.57623,0.3894,0.96167,0.86602,0.77652,0.81589,0.60709,0.84761,0.5593,1.01898,0.004456,0.004456,0.004456
114,2279.52,0.58331,0.39391,0.96594,0.88892,0.7696,0.81864,0.61528,0.83652,0.554,1.01275,0.0044065,0.0044065,0.0044065
115,2299.47,0.57575,0.38788,0.95916,0.89205,0.76013,0.8071,0.60592,0.82283,0.56768,0.99545,0.004357,0.004357,0.004357
116,2319.43,0.57376,0.39086,0.96335,0.87068,0.76736,0.81166,0.61695,0.82494,0.5447,0.99513,0.0043075,0.0043075,0.0043075
117,2339.27,0.57585,0.39515,0.96546,0.90851,0.77307,0.81718,0.60759,0.85779,0.55885,1.02765,0.004258,0.004258,0.004258
118,2359.14,0.56982,0.38087,0.96024,0.90917,0.7601,0.81624,0.60736,0.84702,0.5567,1.01549,0.0042085,0.0042085,0.0042085
119,2378.98,0.56912,0.39056,0.96292,0.89587,0.75139,0.79931,0.60458,0.83995,0.54977,1.0145,0.004159,0.004159,0.004159
120,2398.85,0.56819,0.38711,0.96218,0.86999,0.77374,0.81034,0.60925,0.81551,0.53481,1.01032,0.0041095,0.0041095,0.0041095
121,2418.79,0.57001,0.38495,0.95721,0.88667,0.76458,0.81203,0.6077,0.82972,0.55018,1.00627,0.00406,0.00406,0.00406
122,2438.61,0.56937,0.38106,0.95484,0.90188,0.77801,0.81991,0.60882,0.8439,0.55246,1.01294,0.0040105,0.0040105,0.0040105
123,2458.75,0.56451,0.3895,0.95387,0.90469,0.75019,0.81403,0.6088,0.85456,0.54772,1.02296,0.003961,0.003961,0.003961
124,2478.94,0.55005,0.37504,0.95277,0.897,0.7542,0.80515,0.60819,0.83044,0.56345,1.01694,0.0039115,0.0039115,0.0039115
125,2498.81,0.55887,0.37569,0.95261,0.88759,0.75603,0.80578,0.60466,0.84243,0.54033,1.02304,0.003862,0.003862,0.003862
126,2518.91,0.54782,0.37044,0.95289,0.86448,0.78398,0.81268,0.61228,0.84263,0.56531,1.01985,0.0038125,0.0038125,0.0038125
127,2538.79,0.55311,0.37269,0.94516,0.87192,0.76627,0.81281,0.61728,0.83681,0.57811,1.01478,0.003763,0.003763,0.003763
128,2558.71,0.55452,0.37536,0.95198,0.87369,0.77394,0.81835,0.61442,0.82534,0.54903,1.00555,0.0037135,0.0037135,0.0037135
129,2578.57,0.54972,0.36792,0.94549,0.89109,0.77285,0.81604,0.61528,0.8343,0.55348,1.01308,0.003664,0.003664,0.003664
130,2598.5,0.54952,0.37612,0.95692,0.89842,0.762,0.81439,0.61521,0.83016,0.54423,1.01277,0.0036145,0.0036145,0.0036145
131,2618.38,0.54637,0.36851,0.95182,0.88612,0.76928,0.81529,0.61718,0.82089,0.55998,1.00238,0.003565,0.003565,0.003565
132,2638.26,0.54945,0.36485,0.9497,0.90449,0.76777,0.82161,0.61294,0.82001,0.54525,1.01342,0.0035155,0.0035155,0.0035155
133,2658.2,0.54285,0.36581,0.94883,0.8825,0.77055,0.81176,0.60527,0.82852,0.54102,1.00758,0.003466,0.003466,0.003466
134,2678.11,0.545,0.36391,0.95173,0.88046,0.77951,0.81571,0.61149,0.81375,0.53004,0.99798,0.0034165,0.0034165,0.0034165
135,2698.11,0.53857,0.36233,0.95303,0.89543,0.76512,0.81194,0.61782,0.80495,0.53412,0.99545,0.003367,0.003367,0.003367
136,2718.25,0.54276,0.36129,0.94811,0.88665,0.75692,0.81147,0.61628,0.81971,0.55591,1.00841,0.0033175,0.0033175,0.0033175
137,2738.23,0.53145,0.35665,0.94288,0.89708,0.77055,0.81579,0.6162,0.81848,0.55805,1.00333,0.003268,0.003268,0.003268
138,2758.17,0.52842,0.35814,0.94019,0.89652,0.78269,0.82899,0.62084,0.81778,0.53546,1.00321,0.0032185,0.0032185,0.0032185
139,2778.16,0.53458,0.35609,0.95379,0.90355,0.76736,0.81653,0.62094,0.81222,0.54005,0.99756,0.003169,0.003169,0.003169
140,2798.08,0.53268,0.35833,0.94436,0.8963,0.77824,0.82649,0.62593,0.81977,0.55244,1.00686,0.0031195,0.0031195,0.0031195
141,2817.91,0.52651,0.35345,0.93668,0.9045,0.76862,0.82056,0.61502,0.82556,0.54467,1.00361,0.00307,0.00307,0.00307
142,2837.68,0.52151,0.34845,0.9425,0.89364,0.78657,0.82895,0.6201,0.82248,0.51773,1.00384,0.0030205,0.0030205,0.0030205
143,2857.74,0.52499,0.355,0.94399,0.91403,0.76418,0.82301,0.61603,0.83731,0.53638,1.02073,0.002971,0.002971,0.002971
144,2877.66,0.53253,0.35721,0.94237,0.88009,0.77333,0.81835,0.61878,0.81948,0.53712,1.00444,0.0029215,0.0029215,0.0029215
145,2897.63,0.52027,0.35048,0.9382,0.85257,0.78471,0.8236,0.61295,0.8356,0.53771,1.00934,0.002872,0.002872,0.002872
146,2917.49,0.52094,0.35158,0.9358,0.8901,0.78209,0.82754,0.62179,0.8216,0.53626,1.0051,0.0028225,0.0028225,0.0028225
147,2937.65,0.51701,0.34922,0.93637,0.89539,0.77308,0.82342,0.62367,0.81954,0.53163,1.00533,0.002773,0.002773,0.002773
148,2957.89,0.52559,0.34811,0.94285,0.89385,0.77612,0.82199,0.61837,0.81696,0.52287,0.99783,0.0027235,0.0027235,0.0027235
149,2977.88,0.50985,0.34012,0.93376,0.87983,0.77867,0.81866,0.61833,0.82089,0.52487,0.99917,0.002674,0.002674,0.002674
150,2997.98,0.5144,0.34562,0.93307,0.86207,0.7808,0.82195,0.61606,0.81822,0.55128,1.00202,0.0026245,0.0026245,0.0026245
151,3018,0.52047,0.34655,0.93796,0.86523,0.78677,0.83183,0.61823,0.83098,0.54442,1.00656,0.002575,0.002575,0.002575
152,3038.14,0.51366,0.34513,0.93668,0.88256,0.77801,0.82813,0.61973,0.82477,0.5274,1.00662,0.0025255,0.0025255,0.0025255
153,3057.98,0.50323,0.3374,0.93017,0.89367,0.75712,0.81789,0.61884,0.81758,0.52943,1.00695,0.002476,0.002476,0.002476
154,3077.89,0.50087,0.33583,0.92683,0.88223,0.77821,0.82553,0.62209,0.81845,0.52517,0.99305,0.0024265,0.0024265,0.0024265
155,3097.81,0.50426,0.33581,0.9277,0.8705,0.77756,0.81806,0.62148,0.82492,0.53072,1.00408,0.002377,0.002377,0.002377
156,3117.89,0.5086,0.34155,0.93419,0.90448,0.77073,0.82445,0.62772,0.82385,0.52133,0.99986,0.0023275,0.0023275,0.0023275
157,3137.73,0.51628,0.34594,0.93651,0.90509,0.77224,0.82775,0.62807,0.81527,0.51842,0.99218,0.002278,0.002278,0.002278
158,3157.62,0.50335,0.33755,0.93451,0.88532,0.77591,0.82553,0.6201,0.83525,0.54298,1.00791,0.0022285,0.0022285,0.0022285
159,3177.75,0.49838,0.33167,0.93185,0.89813,0.77596,0.83339,0.62216,0.82489,0.53012,0.99869,0.002179,0.002179,0.002179
160,3198.04,0.48716,0.33023,0.92781,0.87754,0.77672,0.8248,0.61912,0.82984,0.52492,1.00683,0.0021295,0.0021295,0.0021295
161,3218.02,0.49924,0.34045,0.93397,0.91089,0.77354,0.83251,0.62404,0.82242,0.52279,1.00056,0.00208,0.00208,0.00208
162,3237.97,0.49077,0.32847,0.9297,0.887,0.78928,0.82791,0.62555,0.81812,0.52187,1.00137,0.0020305,0.0020305,0.0020305
163,3257.9,0.50556,0.33191,0.93794,0.89784,0.78384,0.82905,0.62468,0.82421,0.53111,1.00135,0.001981,0.001981,0.001981
164,3277.88,0.49716,0.33181,0.93177,0.89716,0.77282,0.82768,0.62661,0.8132,0.52143,0.98962,0.0019315,0.0019315,0.0019315
165,3297.86,0.49467,0.3343,0.92142,0.87997,0.78398,0.82782,0.62082,0.82317,0.53527,0.99666,0.001882,0.001882,0.001882
166,3317.73,0.49506,0.32967,0.93192,0.90392,0.77075,0.83239,0.62691,0.81685,0.52579,0.99927,0.0018325,0.0018325,0.0018325
167,3337.65,0.48928,0.32952,0.92801,0.8801,0.78411,0.83038,0.62595,0.82315,0.52737,1.00481,0.001783,0.001783,0.001783
168,3357.62,0.48856,0.32411,0.92845,0.87907,0.77374,0.82782,0.62506,0.82122,0.52576,1.004,0.0017335,0.0017335,0.0017335
169,3377.54,0.48539,0.32342,0.92867,0.92353,0.75611,0.83002,0.62179,0.82846,0.52124,1.00268,0.001684,0.001684,0.001684
170,3397.4,0.49144,0.32744,0.92419,0.89138,0.7701,0.83056,0.62317,0.82177,0.52166,1.00033,0.0016345,0.0016345,0.0016345
171,3417.53,0.49512,0.35131,0.94641,0.90731,0.76946,0.82886,0.6223,0.82765,0.53212,1.00574,0.001585,0.001585,0.001585
172,3437.68,0.48017,0.32516,0.92811,0.91252,0.76478,0.82516,0.62338,0.81911,0.53728,1.00431,0.0015355,0.0015355,0.0015355
173,3457.75,0.48258,0.32389,0.92417,0.89403,0.76647,0.82528,0.61843,0.82051,0.54146,1.00624,0.001486,0.001486,0.001486
174,3477.72,0.47387,0.32197,0.92596,0.9146,0.76328,0.82945,0.62206,0.82467,0.53886,1.0091,0.0014365,0.0014365,0.0014365
175,3497.65,0.48025,0.32009,0.93008,0.89875,0.774,0.82977,0.6244,0.82674,0.52923,1.01063,0.001387,0.001387,0.001387
176,3517.56,0.47786,0.31816,0.92315,0.88114,0.7812,0.82341,0.62251,0.82,0.53481,1.00356,0.0013375,0.0013375,0.0013375
177,3537.42,0.4618,0.31221,0.91584,0.91245,0.7618,0.81853,0.62108,0.82191,0.53183,1.00643,0.001288,0.001288,0.001288
178,3557.4,0.47989,0.31658,0.92562,0.89772,0.77095,0.82224,0.62083,0.82208,0.53526,1.006,0.0012385,0.0012385,0.0012385
179,3577.24,0.47052,0.31013,0.92084,0.88057,0.7723,0.82301,0.61939,0.82688,0.53811,1.00705,0.001189,0.001189,0.001189
180,3597.15,0.46914,0.31398,0.9214,0.891,0.77374,0.82076,0.62033,0.8304,0.53679,1.00795,0.0011395,0.0011395,0.0011395
181,3617.06,0.46545,0.31,0.91505,0.89262,0.77469,0.81984,0.61736,0.8334,0.55176,1.01091,0.00109,0.00109,0.00109
182,3636.87,0.47281,0.31454,0.92379,0.89104,0.7869,0.83096,0.62344,0.83226,0.54117,1.01206,0.0010405,0.0010405,0.0010405
183,3657.09,0.45914,0.30621,0.92063,0.91334,0.76478,0.82872,0.62352,0.82826,0.5494,1.00798,0.000991,0.000991,0.000991
184,3677.37,0.45863,0.31074,0.9161,0.91635,0.76926,0.83138,0.62751,0.82606,0.5525,1.00391,0.0009415,0.0009415,0.0009415
185,3697.44,0.46267,0.30998,0.91679,0.90093,0.77485,0.83029,0.6248,0.82275,0.549,1.00522,0.000892,0.000892,0.000892
